id,partenza,arrivo,tappa1,distanza1,tappa2,distanza2,tappa3,distanza3,tappa4,distanza4,tappa5,distanza5,distanza_a_destinazione
1747,Hotel Continental Tirrenia,McDonald's Pisa Aurelia,,,,,,,,,,,16.13
1748,Conad Pian di Marco,Parcheggio San Giuliano Terme,Hotel Continental Tirrenia,16.18,,,,,,,,,26.65
1749,Eurospin Ospedaletto,Stazione Pisa Centrale,Ipercoop Pisa,6.78,Ristorante Pizzeria Il Pellicano,1.54,Euronics Pisa Cisanello,1.74,Via Angelo Battelli 5,2.28,,,1.58
1750,Via Gabriele Vettori 18,Parcheggio San Giuliano Terme,Conad Pian di Marco,3.3,Carrefour Express Pisanova,3.51,,,,,,,8.89
1751,Parcheggio Migliarino,McDonald's Barbaricina,Lidl Pisa,14.38,Hotel San Ranieri,3.65,,,,,,,7.98
1752,McDonald's Barbaricina,Esselunga Cisanello,Ristorante Il Rustichello - San Piero,3.74,Ristorante Tuscany 2,8.09,Ristorante Galileo,0.56,Piscina Comunale Camalich,6.29,Parcheggio Migliarino,19.23,14.07
1753,Ristorante Il Lago (Nodica),MD Discount Riglione,,,,,,,,,,,9.89
1754,Carrefour Express Pisanova,Stazione Pisa Centrale,Lidl Pisa,2.68,Parco San Rossore,0.77,Hotel Galilei Pisa,2.99,Stazione Leopolda,3.44,Via Angelo Battelli 5,0.87,1.64
1755,Parcheggio San Giuliano Terme,Ipercoop Pisa,Via del Borghetto 102,7.89,Ristorante Il Lago (Nodica),5.59,Ristorante Da Stefano (Tirrenia),24.72,Hotel Galilei Pisa,14.15,Centro Commerciale Pisanova,5.03,0.85
1756,Eurospin Ospedaletto,Ristorante Il Lago (Nodica),OBI Pisa,3.2,,,,,,,,,10.17
1757,Pizzeria Colignola,Euronics Pisa Cisanello,,,,,,,,,,,1.9
1758,Conad La Vettola,Eurospin Ospedaletto,,,,,,,,,,,5.23
1759,Hotel San Ranieri,Hotel Continental Tirrenia,,,,,,,,,,,22.12
1760,Hotel Galilei Pisa,Centro Commerciale Pisanova,Centro Commerciale Darsena (Tirrenia),16.1,Stazione Pisa Centrale,17.63,Supermercato Coop San Giusto,0.91,Carrefour Express Pisanova,2.5,,,0.38
1761,Ristorante Il Lago (Nodica),Lidl Pisa,Polo Fibonacci,5.92,Ristorante Pizzeria Il Pellicano,2.55,Supermercato Coop San Giusto,1.3,,,,,1.39
1762,Hotel Continental Tirrenia,Ristorante Il Lago (Nodica),Ristorante Galileo,19.11,Ipercoop Pisa,1.14,,,,,,,7.89
1763,Via Gabriele Vettori 18,Torre,Euronics Pisa Cisanello,2.18,Piscina Comunale Camalich,6.02,Supermercato Coop Ghezzano,12.05,Hotel San Ranieri,5.28,McDonald's Pisa Aurelia,4.63,3.73
1764,Ristorante Pizzeria Il Pellicano,Parco San Rossore,Farmacia Cisanello,2.94,Ipercoop Pisa,1.79,Parcheggio Porto di Marina,17.41,,,,,13.82
1765,Piscina Comunale Camalich,Ristorante Tuscany 2,Supermercato Coop San Giusto,3.39,,,,,,,,,3.61
1766,Hotel San Ranieri,Ristorante Galileo,Hotel Galilei Pisa,6.49,Carrefour Express Pisanova,4.85,Parcheggio Via Paparelli,2.87,,,,,3.07
1767,Centro Commerciale Darsena (Tirrenia),Via Montanelli 66,,,,,,,,,,,20.94
1768,Parcheggio Porto di Marina,Supermercato Coop San Giusto,Centro Commerciale Pisanova,17.19,Stazione Pisa Centrale,2.14,Pizzeria Pisanova,2.28,Lidl Pisa,2.78,Universita di Pisa,2.45,2.98
1769,Via Cisanello 170,Ristorante Il Mio Capriccio,Conad La Vettola,9.33,Parco San Rossore,4.54,Hotel Continental Tirrenia,15.5,Conad Metato,24.64,,,10.95
1770,Stazione San Rossore,Hotel Galilei Pisa,Ristorante Il Lago (Nodica),8.24,Via Angelo Battelli 5,6.66,Euronics Pisa Cisanello,2.41,,,,,4.32
1771,Polo Fibonacci,Pizzeria Pisanova,Decathlon Pisa,2.2,Conad La Vettola,8.42,Via Cisanello 170,9.14,,,,,0.82
1772,Centro Commerciale Darsena (Tirrenia),MD Discount Riglione,Parcheggio Migliarino,27.1,Farmacia Cisanello,14.03,Eurospin Ospedaletto,7.7,Hotel Galilei Pisa,2.34,,,5.84
1773,Piscina Comunale Camalich,Via Angelo Battelli 5,MediaWorld Pisa,5.85,Pizzeria Pisanova,0.46,Carrefour Express Pisanova,0.33,Via Gabriele Vettori 18,1.46,Conad La Vettola,6.38,6.32
1774,Ristorante La Greppia,Via Cisanello 170,Stazione San Rossore,1.58,Hotel Galilei Pisa,3.2,,,,,,,5.29
1775,Via Cisanello 170,Carrefour Express Pisanova,Universita di Pisa,1.52,Parco San Rossore,3.28,Ristorante Pizzeria Il Pellicano,2.19,McDonald's Pisa Aurelia,1.85,Ristorante Il Lago (Nodica),9.25,7.56
1776,Ristorante Tuscany 2,Eurospin Ospedaletto,Piscina Comunale Camalich,6.53,McDonald's Barbaricina,6.97,,,,,,,6.29
1777,Ristorante Il Rustichello - San Piero,Ristorante Pizzeria Il Pellicano,Conad Pian di Marco,3.03,,,,,,,,,2.16
1778,Ristorante Il Lago (Nodica),Ristorante Il Rustichello - San Piero,Via Montanelli 66,5.97,Lidl Pisa,1.84,,,,,,,4.66
1779,Hotel Continental Tirrenia,Parcheggio Migliarino,,,,,,,,,,,28.01
1780,Supermercato Coop San Giusto,Pizzeria Colignola,Parcheggio di Cisanello,3.74,Hotel San Ranieri,0.32,Decathlon Pisa,2.25,Facolta di Ingegneria Polo A,2.3,,,3.55
1781,MD Discount Riglione,Via Aretino Spinello 11,Conad La Vettola,11.06,Centro Commerciale Darsena (Tirrenia),17.51,Parcheggio di Cisanello,20.83,Stazione Leopolda,2.49,Pizzeria Pisanova,2.07,1.79
1782,McDonald's Barbaricina,Ipercoop Pisa,Via Aretino Spinello 11,5.22,Stazione Leopolda,0.59,Ristorante Pizzeria Il Pellicano,1.21,,,,,1.61
1783,Via Aretino Spinello 11,Pizzeria Colignola,,,,,,,,,,,3.66
1784,Stazione San Rossore,Hotel San Ranieri,Ristorante Il Mio Capriccio,2.38,Ristorante La Greppia,1.19,,,,,,,3.48
1785,Farmacia Cisanello,MD Discount Riglione,Via Gabriele Vettori 18,2.39,Parcheggio Via Paparelli,2.41,OBI Pisa,6.44,Ristorante Il Lago (Nodica),9.62,Facolta di Ingegneria Polo A,5.32,6.47
1786,Ristorante Tuscany 2,Hotel Galilei Pisa,MediaWorld Pisa,1.08,Via Montanelli 66,1.3,Parco San Rossore,2.59,,,,,2.92
1787,Hotel San Ranieri,Ristorante Tuscany 2,Stazione San Rossore,3.84,Parco San Rossore,0.35,Conad La Vettola,5.18,Euronics Pisa Cisanello,7.81,Parcheggio di Cisanello,1.33,0.69
1788,Parco San Rossore,Hotel Continental Tirrenia,Conad Metato,9.71,Ristorante Il Mio Capriccio,11.01,,,,,,,19.68
1789,Hotel Galilei Pisa,Ristorante Il Rustichello - San Piero,,,,,,,,,,,3.58
1790,Ristorante Il Mio Capriccio,Parcheggio Via Paparelli,Parcheggio Porto di Marina,15.4,Torre,15.57,MD Discount Riglione,6.57,Ristorante Il Rustichello - San Piero,8.98,,,8.66
1791,Piscina Comunale Camalich,Parcheggio Migliarino,McDonald's Pisa Aurelia,3.03,Euronics Pisa Cisanello,3.18,Ipercoop Pisa,0.45,MediaWorld Pisa,0.58,,,16.55
1792,Parcheggio Porto di Marina,Ristorante Il Mio Capriccio,Facolta di Ingegneria Polo A,17.78,Parcheggio Migliarino,13.26,Centro Commerciale Darsena (Tirrenia),29.33,Pizzeria Pisanova,19.92,MD Discount Riglione,4.2,3.82
1793,Via Montanelli 66,Ristorante Pizzeria Il Pellicano,Via San Ranieri 9,1.56,Supermercato Coop San Giusto,3.58,Parco San Rossore,0.94,Via Aretino Spinello 11,1.81,Conad Metato,9.59,10.68
1794,Piscina Comunale Camalich,Centro Commerciale Darsena (Tirrenia),Parcheggio San Giuliano Terme,14.7,Lidl Pisa,10.45,MediaWorld Pisa,2.98,,,,,19.64
1795,Via Montanelli 66,Torre,Piscina Comunale Camalich,6.03,Stazione San Rossore,4.68,Parcheggio di Cisanello,3.67,,,,,2.96
1796,Ristorante Tuscany 2,Conad Metato,,,,,,,,,,,8.91
1797,Via Cisanello 170,Euronics Pisa Cisanello,Torre,3.29,Ristorante Pizzeria Il Pellicano,3.03,Parcheggio San Giuliano Terme,11.04,,,,,9.29
1798,Decathlon Pisa,MediaWorld Pisa,Via Cisanello 170,1.71,,,,,,,,,1.28
1799,Ristorante La Greppia,Parcheggio San Giuliano Terme,Polo Fibonacci,2.98,McDonald's Barbaricina,5.55,,,,,,,11.46
1800,Ristorante Da Stefano (Tirrenia),Via Cisanello 170,,,,,,,,,,,20.71
1801,Pizzeria Pisanova,Ristorante Galileo,McDonald's Pisa Aurelia,3.47,Lidl Pisa,2.15,Ristorante Tuscany 2,3.53,Carrefour Express Pisanova,1.27,Polo Fibonacci,1.59,1.94
1802,Polo Fibonacci,Pizzeria Pisanova,Centro Commerciale Darsena (Tirrenia),23.38,Via Gabriele Vettori 18,23.11,Parcheggio Via Paparelli,2.63,Facolta di Ingegneria Polo A,1.99,,,1.83
1803,Centro Commerciale Darsena (Tirrenia),Carrefour Express Pisanova,Polo Fibonacci,20.51,,,,,,,,,1.52
1804,Stazione Pisa Centrale,Conad Metato,Torre,2.68,Carrefour Express Pisanova,2.59,McDonald's Barbaricina,6.68,,,,,11.54
1805,Conad La Vettola,Parcheggio di Cisanello,Eurospin Ospedaletto,6.1,Pizzeria Pisanova,6.88,,,,,,,0.93
1806,Hotel Galilei Pisa,Ristorante Il Mio Capriccio,Conad Metato,12.45,Stazione Leopolda,10.04,Via Cisanello 170,2.5,Ipercoop Pisa,1.64,,,0.83
1807,Conad La Vettola,Hotel Galilei Pisa,Facolta di Ingegneria Polo A,7.84,Ristorante Il Rustichello - San Piero,7.25,McDonald's Barbaricina,3.58,Hotel San Ranieri,7.19,,,5.84
1808,Hotel Galilei Pisa,Conad Metato,Ristorante La Greppia,2.55,,,,,,,,,11.06
1809,Polo Fibonacci,Carrefour Express Pisanova,Via Montanelli 66,1.07,MD Discount Riglione,5.53,Farmacia Cisanello,4.34,Parcheggio di Cisanello,0.36,,,1.08
1810,MD Discount Riglione,Via Gabriele Vettori 18,Ristorante Il Mio Capriccio,3.9,Ristorante La Greppia,1.19,Parcheggio Migliarino,16.46,Decathlon Pisa,15.71,Conad Metato,10,8.91
1811,Pizzeria Colignola,Centro Commerciale Darsena (Tirrenia),MD Discount Riglione,3.76,Pizzeria Pisanova,4.35,,,,,,,21.18
1812,Polo Fibonacci,Centro Commerciale Darsena (Tirrenia),Ristorante Il Mio Capriccio,2.2,Parcheggio Porto di Marina,15.27,,,,,,,5.97
1813,Hotel Continental Tirrenia,Centro Commerciale Pisanova,Parcheggio Porto di Marina,3.63,Ipercoop Pisa,15.59,Pizzeria Pisanova,0.99,Decathlon Pisa,0.73,Supermercato Coop Ghezzano,7.32,6.4
1814,Via Montanelli 66,Esselunga Cisanello,Centro Commerciale Pisanova,1.09,Farmacia Cisanello,1.29,,,,,,,0.48
1815,Parco San Rossore,Parcheggio Porto di Marina,Hotel Galilei Pisa,3.28,Ristorante Il Mio Capriccio,3.68,Via Aretino Spinello 11,2.12,Ristorante Da Stefano (Tirrenia),18.1,Stazione Leopolda,17.95,15.42
1816,Lidl Pisa,Hotel San Ranieri,Stazione San Rossore,0.43,Torre,2.26,Ristorante Tuscany 2,3.63,Via Angelo Battelli 5,2.69,Conad Metato,8.82,9.17
1817,Via Gabriele Vettori 18,Ristorante Da Stefano (Tirrenia),Stazione Leopolda,1.12,Ristorante Il Mio Capriccio,1.6,Parco San Rossore,2.85,Conad Pian di Marco,1.33,,,15.9
1818,Ristorante La Greppia,Parcheggio San Giuliano Terme,Hotel Continental Tirrenia,17.57,Ristorante Il Mio Capriccio,18.26,,,,,,,10.64
1819,Facolta di Ingegneria Polo A,Parco San Rossore,Torre,1.35,Hotel San Ranieri,3.07,Parcheggio Porto di Marina,19.63,Pizzeria Pisanova,17.52,Ristorante Da Stefano (Tirrenia),21.11,18.94
1820,Via Montanelli 66,Farmacia Cisanello,Stazione Leopolda,1.07,Ristorante Da Stefano (Tirrenia),20.52,,,,,,,19.05
1821,OBI Pisa,Hotel Galilei Pisa,Ristorante Il Mio Capriccio,3.31,Centro Commerciale Darsena (Tirrenia),21.55,Conad Metato,29.87,Via San Ranieri 9,7.64,,,6.27
1822,Ristorante Da Stefano (Tirrenia),Ristorante Galileo,OBI Pisa,17.21,Ipercoop Pisa,4.17,Via del Borghetto 102,3.03,Parcheggio San Giuliano Terme,7.1,Supermercato Coop Ghezzano,3.04,5.26
1823,Parcheggio Porto di Marina,Via Montanelli 66,Via Aretino Spinello 11,16.73,,,,,,,,,0.85
1824,MediaWorld Pisa,Conad Metato,Conad Pian di Marco,3.57,Stazione Leopolda,2.32,,,,,,,9.03
1825,Parcheggio Porto di Marina,Ristorante Da Stefano (Tirrenia),Decathlon Pisa,15.28,Stazione Leopolda,1.88,Ristorante La Greppia,1.5,Conad Pian di Marco,1.6,,,16.21
1826,Stazione Pisa Centrale,Universita di Pisa,Piscina Comunale Camalich,4.66,,,,,,,,,6.83
1827,Parcheggio Via Paparelli,Centro Commerciale Pisanova,Parcheggio San Giuliano Terme,6.24,Conad La Vettola,14.38,Via Cisanello 170,8.24,McDonald's Barbaricina,7.44,Carrefour Express Pisanova,6.15,0.37
1828,Parcheggio Migliarino,Facolta di Ingegneria Polo A,Via San Ranieri 9,15.27,Eurospin Ospedaletto,7.2,,,,,,,7.13
1829,Torre,Parcheggio Porto di Marina,Via Angelo Battelli 5,1.33,Via San Ranieri 9,1.87,,,,,,,16.81
1830,MediaWorld Pisa,OBI Pisa,Farmacia Cisanello,1.73,Hotel Galilei Pisa,5.92,Ristorante Il Mio Capriccio,3.66,,,,,3.59
1831,Ristorante Galileo,Stazione Leopolda,Carrefour Express Pisanova,0.72,Ristorante Da Stefano (Tirrenia),18.07,Eurospin Ospedaletto,12.19,Parco San Rossore,4.6,Euronics Pisa Cisanello,3.84,2.15
1832,Ristorante Il Rustichello - San Piero,Stazione Leopolda,Stazione San Rossore,4.52,Ristorante Da Stefano (Tirrenia),19.32,,,,,,,20.41
1833,Facolta di Ingegneria Polo A,Parcheggio Porto di Marina,,,,,,,,,,,15.58
1834,Conad La Vettola,Via San Ranieri 9,Parcheggio di Cisanello,8.84,Ristorante Pizzeria Il Pellicano,2.42,Esselunga Cisanello,2.5,,,,,1.02
1835,Facolta di Ingegneria Polo A,Euronics Pisa Cisanello,Farmacia Cisanello,2.05,Ristorante Galileo,0.82,Ristorante Tuscany 2,0.48,Polo Fibonacci,2.55,,,2.49
1836,Hotel Continental Tirrenia,Facolta di Ingegneria Polo A,Via San Ranieri 9,20.55,,,,,,,,,1.5
1837,Eurospin Ospedaletto,Esselunga Cisanello,Stazione Leopolda,5.38,,,,,,,,,3.07
1838,Decathlon Pisa,Via del Borghetto 102,Farmacia Cisanello,2.11,Parco San Rossore,4.05,Via Montanelli 66,2.44,Via Aretino Spinello 11,0.83,Stazione Leopolda,0.53,1.76
1839,Ristorante Il Lago (Nodica),Lidl Pisa,Centro Commerciale Pisanova,6.62,OBI Pisa,3.9,Stazione Pisa Centrale,2.44,,,,,0.99
1840,Ristorante Il Rustichello - San Piero,MD Discount Riglione,Supermercato Coop San Giusto,3.99,Piscina Comunale Camalich,3.49,,,,,,,5.43
1841,Esselunga Cisanello,Pizzeria Colignola,Parcheggio San Giuliano Terme,8.27,Conad Metato,0.53,Eurospin Ospedaletto,16.56,Conad Pian di Marco,3.56,,,5.93
1842,Parcheggio di Cisanello,Facolta di Ingegneria Polo A,,,,,,,,,,,1.79
1843,Stazione Pisa Centrale,Decathlon Pisa,Hotel San Ranieri,3.09,,,,,,,,,2.03
1844,Stazione Pisa Centrale,Euronics Pisa Cisanello,MD Discount Riglione,5.6,,,,,,,,,3.45
1845,Via Gabriele Vettori 18,Polo Fibonacci,Via del Borghetto 102,0.56,Piscina Comunale Camalich,7.24,Torre,6.31,,,,,1.58
1846,Parcheggio di Cisanello,Eurospin Ospedaletto,Pizzeria Colignola,1.76,Hotel San Ranieri,1.46,Stazione San Rossore,3.93,,,,,4.97
1847,Via Aretino Spinello 11,Stazione San Rossore,Via Angelo Battelli 5,0.32,Via Gabriele Vettori 18,0.27,Facolta di Ingegneria Polo A,0.34,Stazione Pisa Centrale,2.08,Ristorante Tuscany 2,2.74,3.97
1848,Ristorante Il Lago (Nodica),Via Cisanello 170,,,,,,,,,,,7.16
1849,Polo Fibonacci,MD Discount Riglione,Centro Commerciale Pisanova,1.86,Ristorante Il Lago (Nodica),6.67,Ristorante Pizzeria Il Pellicano,7.43,Stazione San Rossore,2.02,Ristorante Da Stefano (Tirrenia),17.03,20.25
1850,Supermercato Coop San Giusto,Farmacia Cisanello,Via del Borghetto 102,3.31,Polo Fibonacci,0.24,Parcheggio Migliarino,14.07,Pizzeria Colignola,17.35,,,1.32
1851,Stazione San Rossore,Parcheggio San Giuliano Terme,,,,,,,,,,,10.41
1852,Pizzeria Pisanova,Ristorante La Greppia,Via San Ranieri 9,1.1,Via Montanelli 66,1.42,Parco San Rossore,2.63,Conad Metato,10.89,,,11.74
1853,Hotel San Ranieri,Pizzeria Pisanova,Euronics Pisa Cisanello,1.51,Ristorante Tuscany 2,0.87,Parcheggio Via Paparelli,2.98,Via Aretino Spinello 11,3.19,Esselunga Cisanello,2.99,0.87
1854,Stazione Leopolda,OBI Pisa,Stazione Pisa Centrale,0.62,,,,,,,,,2.34
1855,Lidl Pisa,Hotel Galilei Pisa,MediaWorld Pisa,2.61,Parcheggio di Cisanello,1.34,,,,,,,5.48
1856,McDonald's Barbaricina,Universita di Pisa,Pizzeria Colignola,9.72,,,,,,,,,3.6
1857,McDonald's Barbaricina,Stazione San Rossore,Ipercoop Pisa,7.38,,,,,,,,,3.66
1858,Parcheggio Porto di Marina,Via Angelo Battelli 5,,,,,,,,,,,15.37
1859,Ipercoop Pisa,Parcheggio San Giuliano Terme,Decathlon Pisa,0.65,Ristorante Il Mio Capriccio,0.23,Conad La Vettola,7.38,,,,,13.02
1860,Parcheggio Migliarino,OBI Pisa,,,,,,,,,,,15.12
1861,Parcheggio Migliarino,Conad Metato,,,,,,,,,,,8.96
1862,Esselunga Cisanello,Ristorante Tuscany 2,Via San Ranieri 9,0.95,Ristorante Il Rustichello - San Piero,8.48,Parco San Rossore,3.94,Ristorante Pizzeria Il Pellicano,2.28,,,2.28
1863,Centro Commerciale Darsena (Tirrenia),Decathlon Pisa,Via Cisanello 170,20.69,Conad La Vettola,8.62,Hotel San Ranieri,9.6,,,,,2.23
1864,Ristorante Il Lago (Nodica),Pizzeria Colignola,Via del Borghetto 102,5.12,,,,,,,,,3.75
1865,Farmacia Cisanello,MD Discount Riglione,Parcheggio Via Paparelli,2.36,,,,,,,,,6.59
1866,OBI Pisa,MediaWorld Pisa,Ristorante Il Rustichello - San Piero,2.63,,,,,,,,,6.71
1867,Via Montanelli 66,Parco San Rossore,Stazione Pisa Centrale,1.34,,,,,,,,,1.18
1868,Ristorante Il Rustichello - San Piero,Centro Commerciale Pisanova,OBI Pisa,2.58,Ristorante La Greppia,2.12,,,,,,,2.18
1869,Via Angelo Battelli 5,Carrefour Express Pisanova,,,,,,,,,,,1.66
1870,Parcheggio San Giuliano Terme,Torre,Conad Pian di Marco,12.33,,,,,,,,,4.18
1871,Via Aretino Spinello 11,Pizzeria Pisanova,Piscina Comunale Camalich,5.73,,,,,,,,,6.14
1872,Ristorante Il Rustichello - San Piero,McDonald's Pisa Aurelia,Ristorante Tuscany 2,7.25,Hotel Galilei Pisa,5.44,Piscina Comunale Camalich,1.36,Via Aretino Spinello 11,5.74,Stazione San Rossore,1.46,1.78
1873,Via del Borghetto 102,Facolta di Ingegneria Polo A,Ristorante Il Lago (Nodica),5.76,Farmacia Cisanello,6.39,Ipercoop Pisa,1.96,Ristorante Galileo,1.15,,,1.97
1874,Esselunga Cisanello,Universita di Pisa,Supermercato Coop San Giusto,3.62,Ristorante Il Lago (Nodica),9.07,,,,,,,5.33
1875,Stazione Leopolda,Parcheggio di Cisanello,Conad La Vettola,5.93,MediaWorld Pisa,7.63,Torre,3.24,,,,,3.3
1876,Stazione San Rossore,Piscina Comunale Camalich,Esselunga Cisanello,4.34,Carrefour Express Pisanova,1.34,,,,,,,5.29
1877,Hotel San Ranieri,Hotel Galilei Pisa,Decathlon Pisa,2.09,Ristorante Il Mio Capriccio,0.25,,,,,,,3.51
1878,Stazione San Rossore,Ristorante Tuscany 2,Via San Ranieri 9,4.02,Ristorante Il Rustichello - San Piero,7.16,,,,,,,7.78
1879,Via Aretino Spinello 11,Stazione San Rossore,Parco San Rossore,1.95,Facolta di Ingegneria Polo A,2.71,,,,,,,2.46
1880,Universita di Pisa,Lidl Pisa,Ristorante La Greppia,2.78,,,,,,,,,1.82
1881,OBI Pisa,MediaWorld Pisa,Ristorante Galileo,4.54,Universita di Pisa,1.83,Via Gabriele Vettori 18,0.58,,,,,1.96
1882,Centro Commerciale Darsena (Tirrenia),Ristorante Il Mio Capriccio,Hotel Galilei Pisa,15,Euronics Pisa Cisanello,4.55,Ipercoop Pisa,0.43,OBI Pisa,4.03,,,3.2
1883,Ristorante Il Mio Capriccio,Parcheggio di Cisanello,Hotel San Ranieri,2.43,,,,,,,,,0.35
1884,Decathlon Pisa,Ristorante Pizzeria Il Pellicano,Stazione Leopolda,1.96,,,,,,,,,1.28
1885,Carrefour Express Pisanova,Hotel Continental Tirrenia,OBI Pisa,4.18,Via Aretino Spinello 11,3.41,Lidl Pisa,1.17,,,,,16.94
1886,Centro Commerciale Darsena (Tirrenia),Carrefour Express Pisanova,Ristorante La Greppia,20.58,,,,,,,,,1.96
1887,OBI Pisa,MediaWorld Pisa,,,,,,,,,,,3.87
1888,Parcheggio San Giuliano Terme,OBI Pisa,Via Angelo Battelli 5,7.92,Ristorante Il Rustichello - San Piero,5.62,Conad La Vettola,2.8,Parcheggio Via Paparelli,9.12,Parco San Rossore,4.56,1.89
1889,Conad Metato,Via San Ranieri 9,,,,,,,,,,,8.75
1890,Supermercato Coop Ghezzano,Via Angelo Battelli 5,Stazione Leopolda,6.38,Ristorante Il Rustichello - San Piero,5.33,,,,,,,6.62
1891,Ristorante Pizzeria Il Pellicano,Facolta di Ingegneria Polo A,,,,,,,,,,,2.37
1892,Lidl Pisa,Conad Pian di Marco,Parcheggio San Giuliano Terme,10.61,Parcheggio di Cisanello,8.45,Piscina Comunale Camalich,6.33,,,,,3.21
1893,Stazione Pisa Centrale,Euronics Pisa Cisanello,Parcheggio di Cisanello,3.03,Via Cisanello 170,0.13,Ristorante Il Lago (Nodica),5.98,Stazione San Rossore,7,,,3.68
1894,Ristorante Tuscany 2,McDonald's Pisa Aurelia,Stazione Pisa Centrale,3.12,Pizzeria Pisanova,2.25,Polo Fibonacci,1.78,Ristorante Pizzeria Il Pellicano,2.58,Hotel San Ranieri,2.72,4.69
1895,Via Angelo Battelli 5,Eurospin Ospedaletto,OBI Pisa,3.46,Ristorante La Greppia,2.25,Centro Commerciale Pisanova,2.11,Parcheggio Via Paparelli,3.45,Supermercato Coop San Giusto,5.09,4.86
1896,Carrefour Express Pisanova,Ristorante Pizzeria Il Pellicano,Hotel San Ranieri,1.62,,,,,,,,,2.68
1897,McDonald's Barbaricina,Via Cisanello 170,Parcheggio Via Paparelli,7.04,,,,,,,,,2.49
1898,MediaWorld Pisa,Ristorante Il Mio Capriccio,,,,,,,,,,,0.58
1899,Hotel Galilei Pisa,Via del Borghetto 102,,,,,,,,,,,5.31
1900,Stazione San Rossore,Eurospin Ospedaletto,Conad La Vettola,4.83,Ristorante Da Stefano (Tirrenia),14.38,Ristorante La Greppia,19.48,Via Gabriele Vettori 18,2.26,,,7.37
1901,Via Aretino Spinello 11,Ristorante Da Stefano (Tirrenia),MediaWorld Pisa,1.92,McDonald's Barbaricina,7.58,Decathlon Pisa,6.61,Via Cisanello 170,1.44,Parco San Rossore,3.62,19.13
1902,Euronics Pisa Cisanello,Conad Pian di Marco,,,,,,,,,,,3.92
1903,Parcheggio di Cisanello,Piscina Comunale Camalich,,,,,,,,,,,7.32
1904,Conad Pian di Marco,Ristorante Pizzeria Il Pellicano,Decathlon Pisa,3.11,MediaWorld Pisa,0.36,Stazione San Rossore,2.88,,,,,1.99
1905,Centro Commerciale Pisanova,Ipercoop Pisa,Hotel San Ranieri,1.4,Euronics Pisa Cisanello,1.58,Via Aretino Spinello 11,2.34,Eurospin Ospedaletto,6.59,,,6.67
1906,Conad Pian di Marco,Ipercoop Pisa,Via Cisanello 170,4.2,Stazione Leopolda,2.4,,,,,,,2.41
1907,Ristorante Pizzeria Il Pellicano,Parcheggio Via Paparelli,Centro Commerciale Pisanova,1.58,,,,,,,,,3.42
1908,Hotel Galilei Pisa,Parcheggio San Giuliano Terme,,,,,,,,,,,12.13
1909,Ipercoop Pisa,Ristorante Galileo,,,,,,,,,,,1.11
1910,Parco San Rossore,Facolta di Ingegneria Polo A,Ipercoop Pisa,3.56,,,,,,,,,2.96
1911,Conad Metato,MD Discount Riglione,Ristorante Galileo,8.62,Ristorante Pizzeria Il Pellicano,2.17,,,,,,,4.19
1912,McDonald's Barbaricina,Lidl Pisa,,,,,,,,,,,4.04
1913,Ristorante Galileo,Torre,,,,,,,,,,,2.99
1914,Via Montanelli 66,Stazione Leopolda,Supermercato Coop San Giusto,2.1,,,,,,,,,1.49
1915,McDonald's Pisa Aurelia,Parco San Rossore,Facolta di Ingegneria Polo A,3.69,,,,,,,,,3.02
1916,Via Gabriele Vettori 18,Ristorante Il Rustichello - San Piero,Piscina Comunale Camalich,5.76,,,,,,,,,3.99
1917,Universita di Pisa,Esselunga Cisanello,Pizzeria Pisanova,1.78,Via Gabriele Vettori 18,1.78,Parcheggio di Cisanello,1.89,Conad Metato,9.33,,,9.25
1918,Lidl Pisa,Via Cisanello 170,Facolta di Ingegneria Polo A,2.17,,,,,,,,,1.93
1919,Supermercato Coop Ghezzano,MediaWorld Pisa,Ristorante Da Stefano (Tirrenia),26.79,,,,,,,,,19.71
1920,McDonald's Pisa Aurelia,Supermercato Coop San Giusto,,,,,,,,,,,0.86
1921,Conad Pian di Marco,Parcheggio Porto di Marina,Via San Ranieri 9,4.98,,,,,,,,,18.11
1922,Parcheggio Porto di Marina,Polo Fibonacci,Euronics Pisa Cisanello,17.06,Ristorante Galileo,0.64,Via Aretino Spinello 11,2.16,Ristorante Il Lago (Nodica),6.79,Ristorante Pizzeria Il Pellicano,8.15,2.73
1923,Hotel Continental Tirrenia,Pizzeria Colignola,Stazione Leopolda,18.26,Ristorante Il Lago (Nodica),7.57,McDonald's Barbaricina,7.8,Parcheggio San Giuliano Terme,10.81,,,9.23
1924,Parcheggio San Giuliano Terme,Parco San Rossore,Hotel Continental Tirrenia,27.95,Conad La Vettola,12.7,Esselunga Cisanello,9.82,Ristorante Da Stefano (Tirrenia),18.87,,,17.58
1925,MediaWorld Pisa,Conad Metato,Centro Commerciale Darsena (Tirrenia),21.01,McDonald's Pisa Aurelia,16.87,Stazione Pisa Centrale,1.6,Ristorante Galileo,2.33,,,9.62
